num of tasklets, total_num_requests[s], time_sendrequests[s], time_dpu_execution[s], total_time[s], throughput[OPS/s]
12, 2399973402, 2.79428911, 5.31558990, 8.10987854, 295932096
12, 2399973402, 2.77896619, 5.31556797, 8.09453392, 296493088
12, 2399973402, 2.80354786, 5.31574917, 8.11929798, 295588768
12, 2399973402, 2.78445578, 5.31566811, 8.10012436, 296288448
12, 2399973402, 2.76984501, 5.31573629, 8.08558083, 296821408
12, 2399973402, 2.78695011, 5.31574202, 8.10269165, 296194592
12, 2399973402, 2.78345299, 5.31577158, 8.09922409, 296321408
12, 2399973402, 2.78140998, 5.31579781, 8.09720707, 296395200
12, 2399973402, 2.80314183, 5.31586981, 8.11901188, 295599200
12, 2399973402, 2.79892302, 5.31567717, 8.11459923, 295759936
12, 2399973402, 2.79357719, 5.31565714, 8.10923386, 295955616
12, 2399973402, 2.82698011, 5.31575871, 8.14273834, 294737888
12, 2399973402, 2.78539395, 5.31557274, 8.10096741, 296257632
12, 2399973402, 2.80125809, 5.31574488, 8.11700344, 295672352
12, 2399973402, 2.78630495, 5.31565475, 8.10196018, 296221312
12, 2399973402, 2.78016496, 5.31572819, 8.09589291, 296443328
12, 2399973402, 2.79555202, 5.31638288, 8.11193466, 295857088
12, 2399973402, 2.80211115, 5.31571722, 8.11782837, 295642304
12, 2399973402, 2.83551121, 5.31567097, 8.15118217, 294432544
12, 2399973402, 2.77998185, 5.31569099, 8.09567356, 296451360
12, 2399973402, 2.80210972, 5.31639433, 8.11850357, 295617696
12, 2399973402, 2.79951715, 5.31635523, 8.11587238, 295713536
12, 2399973402, 2.78647995, 5.31569624, 8.10217667, 296213408
12, 2399973402, 2.80650401, 5.31576395, 8.12226772, 295480704
12, 2399973402, 2.79333806, 5.31735802, 8.11069584, 295902272
12, 2399973402, 2.77091503, 5.31574154, 8.08665752, 296781888
12, 2399973402, 2.85126400, 5.31570864, 8.16697311, 293863264
12, 2399973402, 2.81023216, 5.31579113, 8.12602329, 295344128
12, 2399973402, 2.82651901, 5.31578779, 8.14230728, 294753472
12, 2399973402, 2.81307697, 5.31614733, 8.12922382, 295227872
12, 2399973402, 2.78347206, 5.31623316, 8.09970474, 296303808
12, 2399973402, 2.80382395, 5.31578922, 8.11961365, 295577280
12, 2399973402, 2.79015994, 5.31574249, 8.10590172, 296077280
12, 2399973402, 2.81749606, 5.31573534, 8.13323116, 295082400
